interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,6.628515875295527,0.0,30.67738655399976,0.2529601318367718,0.4,35.87738655399976,35.734013848023736,34.67738655399976,34.69527059887489,35.87738655399976,0.0,0.0,200.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.008529199985787272,0.0,1
1,0.25,6.628515875295527,0.0,30.498454448830042,0.2511108579905168,0.4,35.87738655399976,36.43255808852597,34.67738655399976,34.73553597092293,35.87738655399976,0.0,0.0,200.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.00740220001898706,0.0,1
2,0.5,6.628515875295527,0.0,30.332400317581012,0.26451925917790703,0.4,35.7834186087534,36.20167400339244,34.58329179751746,34.46559753004219,35.7834186087534,0.0,0.0,200.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007540299993706867,0.0,1
3,0.75,6.628515875295527,0.0,30.179935229535772,0.2922715750164524,0.4,35.651533982767965,36.36274158133665,34.45135617264969,34.3853970948157,35.651533982767965,0.0,0.0,200.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007378600013907999,0.0,1
4,1.0,8.970591484566613,0.0,30.0417120636082,0.3324765310446265,0.4,35.508817230162904,34.79225066834773,34.30862487039844,34.37447940170074,35.508817230162904,0.0,0.0,200.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007402999995974824,0.0,1
5,1.25,8.970591484566613,0.0,29.918322712615197,0.38239422595094064,0.4,35.36845345422121,34.92350470563259,34.16826428937331,33.95774250103311,35.36845345422121,0.0,0.0,200.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007358500006375834,0.0,1
6,1.5,8.970591484566613,0.0,29.810295548700804,0.43862285132042056,0.4,35.23700547309193,34.74136633397486,34.036828335960756,34.19455662398668,35.23700547309193,0.0,0.0,200.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.008038699976168573,0.0,1
7,1.75,8.970591484566613,0.0,29.71809316076553,0.4973305192563332,0.4,35.117862845999966,35.52538107601228,33.91770229898897,33.79171641905121,35.117862845999966,0.0,0.0,200.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007425000017974526,0.0,1
8,2.0,6.937846616142651,0.0,29.642110373589677,0.5545163992078548,0.4,35.01287598742158,35.23460141013599,33.81273452156815,33.710891054930194,35.01287598742158,0.0,0.0,200.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.007536699995398521,0.0,1
9,2.25,6.937846616142651,0.0,29.58267255713303,0.6062833679604238,0.4,34.92312991599915,34.403275559613306,33.72300899220824,33.60220151552639,34.92312991599915,0.0,0.0,200.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013006599998334423,2.949029909160572e-17,2
