interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,55.19344218829409,0.0,21.584680235156437,0.28072746861822123,0.4,26.784680235156436,26.641307529180413,25.584680235156437,25.60256428003157,26.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.012631699995836243,0.0,1
1,0.25,55.19344218829409,0.0,21.40574812998672,0.25797011859177016,0.4,26.784680235156436,27.339851769682653,25.584680235156437,25.64282965207961,26.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011246499983826652,0.0,1
2,0.5,55.19344218829409,0.0,21.239693998737685,0.2500029963244531,0.4,26.690712289910078,27.10896768454913,25.490585478674134,25.37289121119886,26.690712289910078,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011499300017021596,0.0,1
3,0.75,55.19344218829409,0.0,21.087228910692446,0.2573690480324955,0.4,26.558827663924635,27.270035262493323,25.358649853806362,25.29269077597237,26.558827663924635,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011590299982344732,0.0,1
4,1.0,40.61070726264393,0.0,20.94900574476487,0.27956628946497,0.4,26.416110911319574,25.699544349504396,25.215918551555113,25.28177308285742,26.416110911319574,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011421500006690621,0.0,1
5,1.25,40.61070726264393,0.0,20.825616393771874,0.31508201530093,0.4,26.275747135377888,25.83079838678926,25.075557970529985,24.86503618218979,26.275747135377888,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011553100019227713,0.0,1
6,1.5,40.61070726264393,0.0,20.71758922985748,0.36149588751716655,0.4,26.144299154248607,25.648660015131522,24.944122017117433,25.101850305143362,26.144299154248607,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011564599990379065,0.0,1
7,1.75,40.61070726264393,0.0,20.625386841922204,0.4156448774246928,0.4,26.025156527156646,26.43267475716896,24.824995980145648,24.699010100207882,26.025156527156646,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011573900002986193,0.0,1
8,2.0,31.198214719724277,0.0,20.549404054746354,0.4738388208467491,0.4,25.920169668578254,26.141895091292664,24.720028202724826,24.618184736086864,25.920169668578254,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.01154030000907369,0.0,1
9,2.25,31.198214719724277,0.0,20.489966238289703,0.5321118967091595,0.4,25.830423597155818,25.310569240769976,24.63030267336492,24.509495196683066,25.830423597155818,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.019849999982398003,8.326672684688674e-17,2
