interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,9.103161802072522,0.0,31.676429202740422,0.3943984114967135,0.4,36.876429202740425,36.876429202740425,35.67642920274042,35.16193230602389,36.876429202740425,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.012656600010814145,0.0,1
1,0.25,9.103161802072522,0.0,31.497497097570704,0.45151433187762297,0.4,36.876429202740425,36.60695759606096,35.67642920274042,34.90449198975743,36.876429202740425,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.01158160000341013,0.0,1
2,0.5,9.103161802072522,0.0,31.331442966321674,0.5102307617291708,0.4,36.78246125749406,36.453225921369864,35.582334446258116,36.05531198359715,36.78246125749406,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.011373599991202354,0.0,1
3,0.75,9.103161802072522,0.0,31.178977878276434,0.5665462733904625,0.4,36.65057663150863,36.88323746308334,35.450398821390344,35.904307098106045,36.65057663150863,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.011461000016424805,0.0,1
4,1.0,10.605625400472842,0.0,31.04075471234886,0.6166230578075638,0.4,36.50785987890357,36.71677506348114,35.3076675191391,35.38079524929237,36.50785987890357,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011256800004048273,0.0,1
5,1.25,10.605625400472842,0.0,30.91736536135586,0.6570484648782484,0.4,36.36749610296188,36.395277095815004,35.167306938113974,35.033588563272005,36.36749610296188,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.01157140001305379,0.0,1
6,1.5,10.605625400472842,0.0,30.809338197441466,0.6850675699167934,0.4,36.236048121832596,36.21542867122962,35.035870984701425,35.95975395993257,36.236048121832596,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011712600011378527,0.0,1
7,1.75,10.605625400472842,0.0,30.717135809506193,0.6987709172185823,0.4,36.116905494740635,36.54893926042832,34.91674494772963,35.24970609075541,36.116905494740635,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011190399993211031,0.0,1
8,2.0,9.279922225413737,0.0,30.64115302233034,0.69722464631085,0.4,36.01191863616224,36.14052064526843,34.81177717030881,34.27927034271341,36.01191863616224,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.011639200005447492,0.0,1
9,2.25,9.279922225413737,0.0,30.581715205873692,0.6805341330006254,0.4,35.9221725647398,35.67924097532267,34.722051640948905,34.66529385167318,35.9221725647398,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.01917780001531355,3.2959746043559335e-17,2
10,2.5,9.279922225413737,0.0,30.539076881991374,0.6498368081876225,0.4,35.84835287546845,35.86268046848193,34.64825341699973,35.589819703280014,35.84835287546845,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.019618399994214997,0.0,2
11,2.75,9.279922225413737,0.0,30.5134206345322,0.6072246438281199,0.4,35.7909185270437,36.21889559099677,34.59084115202948,34.642049038194436,35.7909185270437,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.019932499999413267,2.7755575615628914e-17,2
12,3.0,8.838021167060703,0.0,30.504856327486614,0.5556015885032864,0.4,35.750183193042176,35.794725972901595,34.550128323959896,35.024369367002336,35.750183193042176,0.0,0.0,100.0,0.27114063501182095,0.0,2.259505291765176,0.05,0,0,optimal,0.019789399986620992,4.163336342344337e-17,2
13,3.25,8.838021167060703,0.0,30.5134206345322,0.49848566812237705,0.4,35.726353422000834,35.97648714780862,34.526321337023745,35.35311414983321,35.726353422000834,0.0,0.0,100.0,0.27114063501182095,0.0,2.259505291765176,0.05,0,0,optimal,0.019781600014539436,5.551115123125783e-17,2
14,3.5,8.838021167060703,0.0,30.539076881991374,0.4397692382708293,0.4,35.7195464828326,36.0919220951775,34.51953733984342,34.47228927248972,35.72979874315901,0.0,0.0,100.0,0.27114063501182095,0.0,2.259505291765176,0.05,0,0,optimal,0.019344100001035258,5.551115123125783e-17,2
15,3.75,8.838021167060703,0.0,30.581715205873692,0.3834537266095376,0.4,35.72979874315901,35.71231286709941,34.52981259102444,34.60029400724052,35.757069724132954,0.0,0.0,100.0,0.27114063501182095,0.0,2.259505291765176,0.05,0,0,optimal,0.019974199996795505,5.551115123125783e-17,2
16,4.0,10.473055082966932,0.0,30.64115302233034,0.3333769421924367,0.4,35.757069724132954,35.82935582666927,34.55710650816051,35.49670856734168,35.801244270146626,0.0,0.0,100.0,0.320191652489008,0.0,2.668263770741732,0.05,0,0,optimal,0.019697499985340983,1.3877787807814457e-16,2
