interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,10.119534236284505,0.0,26.736343974670948,0.6927819262070845,0.4,31.936343974670947,31.936343974670947,30.736343974670948,30.15673693047576,31.936343974670947,-0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.007157899992307648,0.0,1
1,0.25,10.119534236284505,0.0,26.55741186950123,0.6999931243415964,0.4,31.936343974670947,31.670494872507003,30.736343974670948,30.623368725795682,31.936343974670947,-0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.006376499979523942,0.0,1
2,0.5,10.119534236284505,0.0,26.3913577382522,0.6918714128709469,0.4,31.84237602942459,31.77104950726237,30.642249218188645,30.186630241520135,31.84237602942459,-0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.006003899994539097,0.0,1
3,0.75,10.119534236284505,0.0,26.23889265020696,0.6689702730100977,0.4,31.710491403439146,31.492962046641534,30.510313593320873,30.24660437481748,31.710491403439146,-0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.005956999986665323,0.0,1
4,1.0,7.733268521178114,0.0,26.100669484279386,0.6328503795946425,0.4,31.56777465083409,31.4481382168432,30.367582291069624,30.369792629695876,31.56777465083409,-0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.006201100011821836,0.0,1
5,1.25,7.733268521178114,0.0,25.977280133286385,0.5859732436698987,0.4,31.427410874892402,31.420565264685255,30.2272217100445,30.051312867093532,31.427410874892402,-0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.015624799998477101,1.8106176280507924e-17,2
6,1.5,7.733268521178114,0.0,25.869252969371992,0.5315334645810076,0.4,31.29596289376312,31.212476884106106,30.095785756631948,30.004480577015688,31.29596289376312,-0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.015885399974649772,1.1926223897340549e-17,2
7,1.75,7.733268521178114,0.0,25.77705058143672,0.47324102330688833,0.4,31.176820266671157,31.112261193107805,29.97665971966016,29.440504799038067,31.176820266671157,-0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.015857899998081848,2.949029909160572e-17,2
8,2.0,9.589252966260862,0.0,25.701067794260865,0.41506845338755827,0.4,31.07183340809277,30.825900416853596,29.871691942239337,29.79369447740351,31.07183340809277,-0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.015440799994394183,0.0,2
9,2.25,9.589252966260862,0.0,25.641629977804218,0.3609801193283021,0.4,30.98208733667033,30.955549545596078,29.78196641287943,29.997643520842193,30.98208733667033,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.015574899996863678,2.42861286636753e-17,2
10,2.5,9.589252966260862,0.0,25.5989916539219,0.31466205171006056,0.4,30.908267647398972,31.00934674603854,29.708168188930255,29.792204181766714,30.908267647398972,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.015331899980083108,6.245004513516506e-17,2
11,2.75,9.589252966260862,0.0,25.573335406462725,0.2792707502967906,0.4,30.85083329897423,30.891204879590845,29.650755923960006,29.700570996028237,30.85083329897423,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.015412399981869385,1.3877787807814457e-16,2
