interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,7.865838838684025,0.0,27.5981897569052,0.6788398170194039,0.4,32.7981897569052,32.7981897569052,31.5981897569052,31.01858271271001,32.7981897569052,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011268399975961074,0.0,1
1,0.25,7.865838838684025,0.0,27.41925765173548,0.6965490576310533,0.4,32.7981897569052,32.532340654741255,31.5981897569052,31.485214508029934,32.7981897569052,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.01090470000053756,0.0,1
2,0.5,7.865838838684025,0.0,27.25320352048645,0.6991600960922753,0.4,32.70422181165884,32.632895289496616,31.504095000422897,31.048476023754386,32.70422181165884,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.010130000009667128,0.0,1
3,0.75,7.865838838684025,0.0,27.10073843244121,0.6864949944468823,0.4,32.572337185673405,32.354807828875785,31.372159375555125,31.10845015705173,32.572337185673405,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.010148700006539002,0.0,1
4,1.0,8.219359685366454,0.0,26.962515266513638,0.6594168584419384,0.4,32.429620433068344,32.30998399907745,31.22942807330388,31.23163841193013,32.429620433068344,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.010255100001813844,0.0,1
5,1.25,8.219359685366454,0.0,26.839125915520636,0.6197710182974447,0.4,32.28925665712666,32.28241104691951,31.08906749227875,30.913158649327784,32.28925665712666,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.0101548999955412,0.0,1
6,1.5,8.219359685366454,0.0,26.731098751606243,0.5702592725013997,0.4,32.15780867599737,32.07432266634036,30.9576315388662,30.86632635924994,32.15780867599737,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.009975399996619672,0.0,1
7,1.75,8.219359685366454,0.0,26.63889636367097,0.5142557647077755,0.4,32.03866604890541,31.974106975342053,30.83850550189441,30.302350581272318,32.03866604890541,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.010215099988272414,0.0,1
8,2.0,9.014781590401917,0.0,26.562913576495117,0.45557704142253475,0.4,31.93367919032702,31.687746199087847,30.73353772447359,30.65554025963776,31.93367919032702,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.010246200021356344,0.0,1
9,2.25,9.014781590401917,0.0,26.50347576003847,0.39822196066639165,0.4,31.84393311890458,31.817395327830326,30.643812195113682,30.859489303076444,31.84393311890458,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.018094400002155453,4.1160032084816844e-05,2
10,2.5,9.014781590401917,0.0,26.46083743615615,0.3460991764091244,0.4,31.770113429633223,31.871192528272793,30.570013971164506,30.654049964000965,31.770113429633223,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.018128600000636652,8.592302216947623e-18,2
11,2.75,9.014781590401917,0.0,26.435181188696976,0.3027607702608931,0.4,31.71267908120848,31.753050661825096,30.512601706194257,30.562416778262484,31.71267908120848,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.018336000008275732,4.163336342344337e-17,2
12,3.0,7.468127886166294,0.0,26.42661688165139,0.27116018298059613,0.4,31.671943747206946,31.700418304178694,30.471888878124673,30.607956501772243,31.671943747206946,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.0178961000056006,6.245004513516506e-17,2
13,3.25,7.468127886166294,0.0,26.435181188696976,0.25345094236894666,0.4,31.648113976165607,31.726944624913028,30.44808189118852,30.8485174575729,31.648113976165607,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.018169700022554025,1.3877787807814457e-17,2
14,3.5,7.468127886166294,0.0,26.46083743615615,0.25083990390772476,0.4,31.641307036997368,31.820774952788646,30.441297894008198,30.40014340995154,31.651559297323786,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.018314699991606176,2.7755575615628914e-17,2
15,3.75,7.468127886166294,0.0,26.50347576003847,0.26350500555311757,0.4,31.651559297323786,31.6481041265294,30.45157314518921,30.794068853808376,31.678830278297728,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.018707500013988465,8.673617379884035e-18,2
16,4.0,9.147351907907826,0.0,26.562913576495117,0.2905831415580613,0.4,31.678830278297728,31.84825471977338,30.47886706232529,30.817229887953694,31.723004824311406,0.0,0.0,100.0,0.2804205572372348,0.0,2.3368379769769563,0.05,0,0,optimal,0.01857509999535978,3.469446951953614e-18,2
17,4.25,9.147351907907826,0.0,26.63889636367097,0.33022898170255527,0.4,31.723004824311406,31.872619441215985,30.523064389170212,30.435656787586613,31.78389454265996,0.0,0.0,100.0,0.2804205572372348,0.0,2.3368379769769563,0.05,0,0,optimal,0.014783099992200732,7.632783294297951e-17,2
18,4.5,9.147351907907826,0.0,26.731098751606243,0.3797407274986006,0.4,31.78389454265996,31.738980397137965,30.583976634319644,30.450884837034547,33.544051754742654,9.34233052832481,9.342330528324812,97.61675241624367,0.003212341928427983,0.0,0.0267695160702332,0.07551417117447931,0,0,optimal,0.017589199997019023,2.7755575615628914e-17,3
19,4.75,9.147351907907826,0.0,26.839125915520636,0.4357442352922245,0.3861583084043884,33.544051754742654,33.53342320544565,31.733264651123996,32.85766726723309,34.189738768966315,9.481717632616862,9.481717632616862,95.19794689771896,-0.00029775104556377055,0.0,-0.007443776139094263,0.07614765503816472,0,0,optimal,0.017484100011643022,4.163336342344337e-17,3
