interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,6.628515875295527,0.0,30.67738655399976,0.2529601318367718,0.4,35.87738655399976,35.87738655399976,34.67738655399976,34.097779509804575,36.77059647781265,-0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.00931789999594912,0.0,1
1,0.25,6.628515875295527,0.0,30.498454448830042,0.2511108579905168,0.4,36.77059647781265,35.64757863016409,35.57200205904096,35.287301186342425,37.26566451376631,-0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.0059815999993588775,0.0,1
2,0.5,6.628515875295527,0.0,30.332400317581012,0.26451925917790703,0.4,37.26566451376631,36.09345870730797,36.06644136644032,35.39035196019488,37.51428941433581,-0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.006013400008669123,0.0,1
3,0.75,6.628515875295527,0.0,30.179935229535772,0.2922715750164524,0.4,37.51428941433581,36.075502898641915,36.31467944135167,35.80641373304454,37.61339868127393,-0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.006020200002240017,0.0,1
4,1.0,8.970591484566613,0.0,30.0417120636082,0.3324765310446265,0.4,37.61339868127393,36.20207261327542,36.41355403180998,36.157114249105355,37.62403314338286,-0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.0061036000261083245,0.0,1
5,1.25,8.970591484566613,0.0,29.918322712615197,0.38239422595094064,0.4,37.62403314338286,36.283896975134994,36.424049634836315,35.9811662408759,37.62403314338286,-0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.005947400000877678,0.0,1
6,1.5,8.970591484566613,0.0,29.810295548700804,0.43862285132042056,0.4,37.58470110988439,36.14426212193481,36.384639190025325,36.02162462941828,37.58470110988439,-0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.005943700001807883,0.0,1
7,1.75,8.970591484566613,0.0,29.71809316076553,0.4973305192563332,0.4,37.519753770869805,36.085895572212905,36.31965166479359,35.509316996899905,37.519753770869805,-0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.006238899979507551,0.0,1
8,2.0,6.937846616142651,0.0,29.642110373589677,0.5545163992078548,0.4,37.44463779400997,35.82423196395924,36.2445197491915,35.89130742608631,37.44463779400997,-0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.006002199981594458,0.0,1
9,2.25,6.937846616142651,0.0,29.58267255713303,0.6062833679604238,0.4,37.36918925868359,35.96756905734486,36.169070715498165,36.109411173057666,37.36918925868359,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.00978150000446476,5.637851296924623e-18,2
10,2.5,6.937846616142651,0.0,29.54003423325071,0.6491035921425135,0.4,37.29969913410176,36.02800324571035,36.099589968025874,35.90875123157261,37.29969913410176,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.009923600009642541,3.122502256758253e-17,2
