interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,9.103161802072522,0.0,31.676429202740422,0.3943984114967135,0.4,36.876429202740425,34.84796251412482,35.67642920274042,35.920856277535975,36.876429202740425,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.012530899984994903,0.0,1
1,0.25,9.103161802072522,0.0,31.497497097570704,0.45151433187762297,0.4,36.876429202740425,36.98687497247896,35.67642920274042,35.6642961687989,36.876429202740425,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.011564099986571819,0.0,1
2,0.5,9.103161802072522,0.0,31.331442966321674,0.5102307617291708,0.4,36.78246125749406,37.4676920896388,35.582334446258116,35.54202065436296,36.78246125749406,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.011476899991976097,0.0,1
3,0.75,9.103161802072522,0.0,31.178977878276434,0.5665462733904625,0.4,36.65057663150863,36.20935987703834,35.450398821390344,35.49348428587317,36.65057663150863,0.0,0.0,100.0,0.2790948540621757,0.0,2.32579045051813,0.05,0,0,optimal,0.011489700002130121,0.0,1
4,1.0,10.605625400472842,0.0,31.04075471234886,0.6166230578075638,0.4,36.50785987890357,35.63079289860674,35.3076675191391,35.48621086643491,36.50785987890357,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011426800017943606,0.0,1
5,1.25,10.605625400472842,0.0,30.91736536135586,0.6570484648782484,0.4,36.36749610296188,35.818908483567625,35.167306938113974,35.27233789425079,36.36749610296188,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011523099994519725,0.0,1
6,1.5,10.605625400472842,0.0,30.809338197441466,0.6850675699167934,0.4,36.236048121832596,36.708880906105875,35.035870984701425,35.0896547134628,36.236048121832596,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011458399996627122,0.0,1
7,1.75,10.605625400472842,0.0,30.717135809506193,0.6987709172185823,0.4,36.116905494740635,35.53407376271838,34.91674494772963,34.924274576552904,36.116905494740635,0.0,0.0,100.0,0.32416876201418526,0.0,2.7014063501182113,0.05,0,0,optimal,0.011346599989337847,0.0,1
8,2.0,9.279922225413737,0.0,30.64115302233034,0.69722464631085,0.4,36.01191863616224,35.720259084323224,34.81177717030881,34.76706924631077,36.01191863616224,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.011484199989354238,0.0,1
9,2.25,9.279922225413737,0.0,30.581715205873692,0.6805341330006254,0.4,35.9221725647398,35.41351485551056,34.722051640948905,34.66254382290796,35.9221725647398,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.0198445999994874,3.2959746043559335e-17,2
10,2.5,9.279922225413737,0.0,30.539076881991374,0.6498368081876225,0.4,35.84835287546845,35.671838342033304,34.64825341699973,34.5518799217645,35.84835287546845,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.020175999990897253,0.0,2
11,2.75,9.279922225413737,0.0,30.5134206345322,0.6072246438281199,0.4,35.7909185270437,35.211720239292724,34.59084115202948,34.82646034141008,35.7909185270437,0.0,0.0,100.0,0.2843976667624121,0.0,2.3699805563534335,0.05,0,0,optimal,0.01985949999652803,2.7755575615628914e-17,2
