interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,55.19344218829409,0.0,11.584680235156437,0.28072746861822123,0.4,16.784680235156436,16.784680235156436,15.584680235156437,15.070183338439906,16.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.012634899991098791,0.0,1
1,0.25,55.19344218829409,0.0,11.405748129986717,0.25797011859177016,0.4,16.784680235156436,16.51520862847698,15.584680235156437,14.812743022173448,16.784680235156436,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011407299985876307,0.0,1
2,0.5,55.19344218829409,0.0,11.239693998737685,0.2500029963244531,0.4,16.69071228991008,16.361476953785886,15.490585478674134,15.963563016013168,16.69071228991008,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011444400006439537,0.0,1
3,0.75,55.19344218829409,0.0,11.087228910692446,0.2573690480324955,0.4,16.558827663924635,16.79148849549936,15.358649853806362,15.812558130522058,16.558827663924635,0.0,0.0,100.0,1.6618032656488226,0.0,13.848360547073522,0.05,0,0,optimal,0.011446999997133389,0.0,1
4,1.0,40.61070726264393,0.0,10.949005744764872,0.27956628946497,0.4,16.416110911319574,16.62502609589715,15.215918551555113,15.289046281708384,16.416110911319574,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011117299989564344,0.0,1
5,1.25,40.61070726264393,0.0,10.825616393771874,0.31508201530093,0.4,16.275747135377888,16.303528128231015,15.075557970529987,14.94183959568802,16.275747135377888,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011070400010794401,0.0,1
6,1.5,40.61070726264393,0.0,10.717589229857479,0.36149588751716655,0.4,16.14429915424861,16.12367970364563,14.944122017117435,15.868004992348578,16.14429915424861,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.011379999981727451,0.0,1
7,1.75,40.61070726264393,0.0,10.625386841922204,0.4156448774246928,0.4,16.025156527156646,16.457190292844338,14.824995980145648,15.15795712317142,16.025156527156646,0.0,0.0,100.0,1.224321217879318,0.0,10.20267681566098,0.05,0,0,optimal,0.01158019999274984,0.0,1
8,2.0,31.198214719724277,0.0,10.549404054746354,0.4738388208467491,0.4,15.920169668578255,16.04877167768445,14.720028202724825,14.187521375129426,15.920169668578255,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.011552699987078086,0.0,1
9,2.25,31.198214719724277,0.0,10.489966238289705,0.5321118967091595,0.4,15.830423597155818,15.587492007738685,14.630302673364918,14.573544884089193,15.830423597155818,0.0,0.0,100.0,0.9419464415917281,0.0,7.849553679931066,0.05,0,0,optimal,0.019494100008159876,8.326672684688674e-17,2
