interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,6.628515875295527,0.0,30.67738655399976,0.2529601318367718,0.4,35.87738655399976,33.84891986538416,34.67738655399976,34.92181362879531,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.008650500007206574,0.0,1
1,0.25,6.628515875295527,0.0,30.498454448830042,0.2511108579905168,0.4,35.87738655399976,35.987832323738296,34.67738655399976,34.665253520058236,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007729200005996972,0.0,1
2,0.5,6.628515875295527,0.0,30.332400317581012,0.26451925917790703,0.4,35.7834186087534,36.46864944089813,34.58329179751746,34.5429780056223,35.7834186087534,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.008079599996563047,0.0,1
3,0.75,6.628515875295527,0.0,30.179935229535772,0.2922715750164524,0.4,35.651533982767965,35.21031722829768,34.45135617264969,34.49444163713252,35.651533982767965,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007611499982886016,0.0,1
4,1.0,8.970591484566613,0.0,30.0417120636082,0.3324765310446265,0.4,35.508817230162904,34.63175024986608,34.30862487039844,34.487168217694254,35.508817230162904,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007987000019056723,0.0,1
5,1.25,8.970591484566613,0.0,29.918322712615197,0.38239422595094064,0.4,35.36845345422121,34.81986583482696,34.16826428937331,34.27329524551012,35.36845345422121,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007856400014134124,0.0,1
6,1.5,8.970591484566613,0.0,29.810295548700804,0.43862285132042056,0.4,35.23700547309193,35.70983825736522,34.036828335960756,34.09061206472213,35.23700547309193,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.0076185000070836395,0.0,1
7,1.75,8.970591484566613,0.0,29.71809316076553,0.4973305192563332,0.4,35.117862845999966,34.53503111397772,33.91770229898897,33.92523192781224,35.117862845999966,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007719999994151294,0.0,1
8,2.0,6.937846616142651,0.0,29.642110373589677,0.5545163992078548,0.4,35.01287598742158,34.72121643558257,33.81273452156815,33.76802659757011,35.01287598742158,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.007763000001432374,0.0,1
9,2.25,6.937846616142651,0.0,29.58267255713303,0.6062833679604238,0.4,34.92312991599915,34.414472206769915,33.72300899220824,33.663501174167294,34.92312991599915,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013687700004084036,5.637851296924623e-18,2
10,2.5,6.937846616142651,0.0,29.54003423325071,0.6491035921425135,0.4,34.84931022672779,34.67279569329264,33.64921076825907,33.55283727302384,34.84931022672779,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013710100000025705,3.122502256758253e-17,2
11,2.75,6.937846616142651,0.0,29.514377985791537,0.6800589442398808,0.4,34.791875878303046,34.21267759055206,33.591798503288814,33.827417692669414,34.791875878303046,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013343600003281608,1.3877787807814457e-17,2
12,3.0,7.954219050354632,0.0,29.50581367874595,0.6970398681632282,0.4,34.75114054430151,33.66663474052427,33.551085675219234,33.741474999719735,34.75114054430151,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013452799990773201,3.8163916471489756e-17,2
13,3.25,7.954219050354632,0.0,29.514377985791537,0.6988891420094832,0.4,34.72731077326017,34.49157944422275,33.52727868828308,33.645792126697295,34.72731077326017,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013685699988855049,4.85722573273506e-17,2
14,3.5,7.954219050354632,0.0,29.54003423325071,0.685480740822093,0.4,34.72050383409193,35.6175402504287,33.52049469110276,33.5459546684544,34.730756094418346,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013527200004318729,0.0,2
15,3.75,7.954219050354632,0.0,29.58267255713303,0.6577284249835476,0.4,34.730756094418346,34.12108680665937,33.530769942283776,33.836303769606104,34.75802707539229,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013850799994543195,2.7755575615628914e-17,2
16,4.0,7.68907841534281,0.0,29.642110373589677,0.6175234689553736,0.4,34.75802707539229,34.35412033185686,33.558063859419846,33.67550190652699,36.252415010789576,8.002879359839731,8.002879359839735,97.95844914289803,-0.0002585059149283475,0.0,-0.006462647873208689,0.07198758825102158,0,0,optimal,0.018216600001323968,1.6653345369377348e-16,3
17,4.25,7.68907841534281,0.0,29.71809316076553,0.5676057740490592,0.6142305491349577,36.252415010789576,36.99227119488828,34.52602094951652,34.50789395816095,36.743621487975005,8.010824980792002,8.010824980791998,95.91487134167558,-0.0003437642149276172,0.0,-0.008594105373190428,0.07184253598910746,0,0,optimal,0.013527500006603077,2.7755575615628914e-17,2
18,4.5,7.68907841534281,0.0,29.810295548700804,0.5113771486795797,0.5711127386676579,36.743621487975005,36.93305621104645,35.02006643333829,34.808574753537236,37.01468303730724,8.00895455639867,8.008954556398667,93.87177068953307,-0.0003323044279696324,0.0,-0.008307610699240811,0.07166142456472423,0,0,optimal,0.019074899988481775,5.551115123125783e-17,3
19,4.75,7.68907841534281,0.0,29.918322712615197,0.45266948074366664,0.5454688433447211,37.01468303730724,36.75827007131649,35.29517959225966,35.265098188953544,37.19104946179565,8.00790705273794,8.007907052737938,91.82893725771217,-0.0003284946251271287,0.0,-0.008212365628178217,0.07149479372060415,0,0,optimal,0.030176800006302074,8.326672684688674e-17,5
20,5.0,35.57303519741933,2.0899889529155344,30.0417120636082,0.39548360079214523,0.43613303973839923,37.19104946179565,37.097602078443764,35.475417293975184,35.53219110206502,39.52860442919472,-17.338606487502446,-17.33860648750244,96.07689584715027,1.5372083025835577,0.0,12.81006918819631,0.1046560051947501,0,0,optimal,0.013299700018251315,5.551115123125783e-17,2
21,5.25,35.57303519741933,2.0899889529155344,30.179935229535772,0.34371663203957625,0.3930800931321057,39.52860442919472,39.13313534753249,37.01894585942123,36.930126557135516,39.52860442919472,0.0,0.0,96.07689584715027,1.0104913873351138,0.0,8.420761561125946,0.05,0,0,optimal,0.01901190000353381,5.551115123125783e-17,3
