interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,10.517245188802235,0.0,37.03498529109366,0.5467971315286042,0.4,42.234985291093665,42.234985291093665,41.03498529109366,40.455378246898476,42.234985291093665,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.01267670001834631,0.0,1
1,0.25,10.517245188802235,0.0,36.85605318592395,0.48916081357746577,0.4,42.234985291093665,41.969136188929724,41.03498529109366,40.9220100422184,42.234985291093665,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.0112350000126753,0.0,1
2,0.5,10.517245188802235,0.0,36.689999054674914,0.430559459582874,0.4,42.14101734584731,42.069690823685086,40.94089053461136,40.48527155794286,42.14101734584731,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.011279700003797188,0.0,1
3,0.75,10.517245188802235,0.0,36.53753396662968,0.37498665497624384,0.4,42.00913271986187,41.791603363064254,40.80895490974359,40.5452456912402,42.00913271986187,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.011213000019779429,0.0,1
4,1.0,8.04259926202524,0.0,36.399310800702104,0.32622959455311495,0.4,41.86641596725681,41.746779533265915,40.66622360749235,40.6684339461186,41.86641596725681,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.01123060000827536,0.0,1
5,1.25,8.04259926202524,0.0,36.2759214497091,0.2876109914064723,0.4,41.72605219131513,41.71920658110797,40.52586302646722,40.34995418351626,41.72605219131513,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.011064500024076551,0.0,1
6,1.5,8.04259926202524,0.0,36.16789428579471,0.26176263952049983,0.4,41.59460421018584,41.51111820052883,40.394427073054665,40.3031218934384,41.59460421018584,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.011557699996046722,0.0,1
7,1.75,8.04259926202524,0.0,36.075691897859436,0.25044606135980546,0.4,41.47546158309388,41.410902509530516,40.27530103608288,39.739146115460784,41.47546158309388,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.01159520001965575,0.0,1
8,2.0,7.512317992001598,0.0,35.99970911068358,0.25443246302451084,0.4,41.37047472451549,41.12454173327631,40.170333258662055,40.09233579382622,41.37047472451549,0.0,0.0,50.0,0.23136953976004804,0.0,1.9280794980004001,0.05,0,0,optimal,0.011778599990066141,0.0,1
9,2.25,7.512317992001598,0.0,35.94027129422693,0.27345017782900666,0.4,41.28072865309305,41.25419086201879,40.080607729302145,40.296284837264906,41.28072865309305,0.0,0.0,50.0,0.23136953976004804,0.0,1.9280794980004001,0.05,0,0,optimal,0.020399600005475804,1.734723475976807e-17,2
